Compounds Name,aflowlib.org name,,ZX,,,ZAB,,ZAB,mX,,,,mAB,∆mAB,rowX,rowAB,∆rowAB,colX,colAB,∆colAB,eX,eAB,∆eAB,rX,rAB,∆rAB,χX,χAB,∆χAB,alatt,gap,cv,cs,κ˜grain,103P3,κtransf,κforest,κanh,class
AgBaSb,Ag1Ba1Sb1.T0003.CAB,,47,,,53.50,,5,107.87,,,,129.54,15.57,5,5.50,1,11,8.50,13,1.93,1.47,1.16,160,180,70,1.18,1.29,1.58,7.13,0.04,13.48,2.57,0.60,4.78,1.15,0.82,0.17,LOW
AgGaHf,Ag1Ga1Hf1.T0003.CAB,,47,,,51.50,,41,107.87,,,,124.11,108.77,5,5,2,11,8.50,9,1.93,1.55,0.51,160,142.50,25,1.18,1.23,0.91,6.10,0.03,20.91,2.69,0.69,5.38,16.37,3.38,10.75,LOW
AgKTe,Ag1K1Te1.T0003.CAB,,47,,,35.50,,33,107.87,,,,83.35,88.50,5,4.50,1,11,8.50,15,1.93,1.46,1.28,160,180,80,1.18,1.33,1.97,6.83,0.46,15.17,2.08,0.28,11.02,0.25,0.91,0.52,LOW
AgNaTe,Ag1Na1Te1.T0003.CAB,,47,,,31.50,,41,107.87,,,,75.29,104.61,5,4,2,11,8.50,15,1.93,1.51,1.17,160,160,40,1.18,1.36,1.92,6.54,0.13,17.18,2.12,0.48,9.83,1.87,1.68,1.71,LOW
AsAgCa,Ag1As1Ca1.T0003.ABC,,33,,,33.50,,27,74.92,,,,73.97,67.79,4,4.50,1,15,6.50,9,2.18,1.47,0.93,115,170,20,2.16,0.89,0.58,6.42,0.22,17.86,2.58,0.43,5.67,1.84,4.84,1.81,LOW
AsAgSr,Ag1As1Sr1.T0003.ABC,,33,,,42.50,,9,74.92,,,,97.74,20.25,4,5,0,15,6.50,9,2.18,1.44,0.98,115,180,40,2.16,0.86,0.63,6.62,0.08,16.57,2.10,0.52,6.93,0.66,4.70,0.76,LOW
AsBaK,As1Ba1K1.T0003.CAB,,33,,,37.50,,37,74.92,,,,88.21,98.23,4,5,2,15,1.50,1,2.18,0.85,0.07,115,217.50,5,2.16,0.42,0.15,7.61,0.92,11.04,2.02,0.37,7.37,0.78,4.03,2.25,LOW
AsBaNa,As1Ba1Na1.T0003.CAB,,33,,,33.50,,45,74.92,,,,80.16,114.34,4,4.50,3,15,1.50,1,2.18,0.91,0.04,115,197.50,35,2.16,0.45,0.10,7.20,0.94,12.88,2.02,0.61,4.85,1.40,4.59,2.91,LOW
AsCaK,As1Ca1K1.T0003.CAB,,33,,,19.50,,1,74.92,,,,39.59,0.98,4,4,0,15,1.50,1,2.18,0.91,0.18,115,200,40,2.16,0.47,0.25,7.15,1.25,13.07,2.76,0.52,4.33,0.77,3.85,3.03,LOW
AsCaLi,As1Ca1Li1.T0003.CAB,,33,,,11.50,,17,74.92,,,,23.51,33.14,4,3,2,15,1.50,1,2.18,0.99,0.02,115,162.50,35,2.16,0.53,0.15,6.46,1.81,16.79,2.93,0.77,6.95,1.16,4.16,5.41,LOW
AsCaNa,As1Ca1Na1.T0003.CAB,,33,,,15.50,,9,74.92,,,,31.53,17.09,4,3.50,1,15,1.50,1,2.18,0.96,0.07,115,180,0,2.16,0.50,0.20,6.72,1.60,15.50,3.13,0.86,2.58,7.18,4.01,9.19,LOW
AsCrNi,As1Cr1Ni1.T0003.CAB,,33,,,26,,4,74.92,,,,55.34,6.70,4,4,0,15,8,4,2.18,1.78,0.25,115,137.50,5,2.16,0.99,0.20,5.40,0.14,28.54,3.41,2.25,3.23,105.79,6.00,18.79,LOW
AsKMg,As1K1Mg1.T0003.CAB,,33,,,15.50,,7,74.92,,,,31.70,14.79,4,3.50,1,15,1.50,1,2.18,1.06,0.49,115,185,70,2.16,0.81,0.93,6.76,0.50,15.22,2.98,1.09,3.30,3.31,3.92,2.69,LOW
AsKSr,As1K1Sr1.T0003.CAB,,33,,,28.50,,19,74.92,,,,63.36,48.52,4,4.50,1,15,1.50,1,2.18,0.89,0.13,115,210,20,2.16,0.45,0.20,7.37,1.00,12.05,2.42,0.50,4.95,0.96,3.89,3.35,LOW
AsLiMg,As1Li1Mg1.T0003.CAB,,33,,,7.50,,9,74.92,,,,15.62,17.36,4,2.50,1,15,1.50,1,2.18,1.15,0.33,115,147.50,5,2.16,0.86,0.83,6.03,1.37,20.04,3.66,0.99,4.70,3.07,5.14,13.65,LOW
AsLiZn,As1Li1Zn1.T0003.CAB,,33,,,16.50,,27,74.92,,,,36.17,58.47,4,3,2,15,6.50,11,2.18,1.31,0.67,115,140,10,2.16,0.94,0.99,5.80,0.56,22.97,3.24,0.80,5.18,6.21,5.84,11.80,LOW
AsMgNa,As1Mg1Na1.T0003.CAB,,33,,,11.50,,1,74.92,,,,23.65,1.32,4,3,0,15,1.50,1,2.18,1.12,0.38,115,165,30,2.16,0.84,0.88,6.37,0.88,17.85,3.43,0.88,3.66,3.31,4.58,8.33,LOW
AsNaSr,As1Na1Sr1.T0003.CAB,,33,,,24.50,,27,74.92,,,,55.30,64.63,4,4,2,15,1.50,1,2.18,0.94,0.02,115,190,20,2.16,0.47,0.15,6.96,1.28,14.19,2.54,0.77,2.70,7.73,4.01,3.79,LOW
AuAlHf,Al1Au1Hf1.T0003.ABC,,79,,,42.50,,59,196.97,,,,102.74,151.51,6,4.50,3,11,8.50,9,2.54,1.46,0.31,135,140,30,1.16,1.22,0.89,6.16,0.62,19.83,2.89,0.50,5.95,49.58,7.11,16.70,LOW
AuAlTi,Al1Au1Ti1.T0003.ABC,,79,,,17.50,,9,196.97,,,,37.42,20.89,6,3.50,1,11,8.50,9,2.54,1.57,0.07,135,132.50,15,1.16,1.23,0.87,5.99,0.68,20.95,3.37,0.93,3.77,108.01,5.28,24.03,LOW
AuAlZr,Al1Au1Zr1.T0003.ABC,,79,,,26.50,,27,196.97,,,,59.10,64.24,6,4,2,11,8.50,9,2.54,1.47,0.28,135,140,30,1.16,1.21,0.90,6.21,0.45,19.18,3.16,0.85,4.63,124.45,5.54,19.42,LOW
AuGaHf,Au1Ga1Hf1.T0003.CAB,,79,,,51.50,,41,196.97,,,,124.11,108.77,6,5,2,11,8.50,9,2.54,1.55,0.51,135,142.50,25,1.16,1.23,0.91,6.13,0.54,20.69,2.71,0.74,4.53,23.85,5.90,11.54,LOW
AuGaTi,Au1Ga1Ti1.T0003.CAB,,79,,,26.50,,9,196.97,,,,58.80,21.86,6,4,0,11,8.50,9,2.54,1.68,0.27,135,135,10,1.16,1.24,0.89,5.96,0.60,21.88,3.07,0.74,5.97,45.37,7.86,23.06,LOW
AuGaZr,Au1Ga1Zr1.T0003.CAB,,79,,,35.50,,9,196.97,,,,80.47,21.50,6,4.50,1,11,8.50,9,2.54,1.57,0.48,135,142.50,25,1.16,1.22,0.92,6.18,0.58,19.99,2.93,0.54,5.48,22.06,5.85,8.56,LOW
AuGeSc,Au1Ge1Sc1.T0003.CAB,,79,,,26.50,,11,196.97,,,,58.80,27.68,6,4,0,11,8.50,11,2.54,1.69,0.65,135,142.50,35,1.16,1.28,1.23,6.14,0.28,20.19,2.90,0.53,11.22,19.37,7.69,9.56,LOW
AuHfIn,Au1Hf1In1.T0003.CAB,,79,,,60.50,,23,196.97,,,,146.65,63.67,6,5.50,1,11,8.50,9,2.54,1.54,0.48,135,155,0,1.16,1.19,0.82,6.31,0.35,19.09,2.64,0.83,3.63,64.41,4.42,12.22,LOW
AuHfTl,Au1Hf1Tl1.T0003.CAB,,79,,,76.50,,9,196.97,,,,191.44,25.89,6,6,0,11,8.50,9,2.54,1.46,0.32,135,172.50,35,1.16,1.17,0.79,6.35,0.24,18.87,2.30,0.74,4.49,40.99,4.06,10.28,LOW
AuInTi,Au1In1Ti1.T0003.CAB,,79,,,35.50,,27,196.97,,,,81.34,66.95,6,4.50,1,11,8.50,9,2.54,1.66,0.24,135,147.50,15,1.16,1.20,0.81,6.20,0.41,19.80,2.76,0.91,5.82,50.59,7.55,13.07,LOW
AuInZr,Au1In1Zr1.T0003.CAB,,79,,,44.50,,9,196.97,,,,103.02,23.59,6,5,0,11,8.50,9,2.54,1.55,0.45,135,155,0,1.16,1.18,0.84,6.36,0.44,18.52,2.88,0.66,4.33,37.14,5.22,11.58,LOW
AuLaSn,Au1La1Sn1.T0003.CAB,,79,,,53.50,,7,196.97,,,,128.81,20.20,6,5.50,1,11,8.50,11,2.54,1.53,0.86,135,170,50,1.16,1.27,1.14,6.78,0.18,15.53,2.29,0.58,5.76,10.70,3.79,2.61,LOW
AuPbSc,Au1Pb1Sc1.T0003.CAB,,79,,,51.50,,61,196.97,,,,126.08,162.24,6,5,2,11,8.50,11,2.54,1.84,0.97,135,170,20,1.16,1.24,1.13,6.42,0.06,17.99,2.41,0.47,9.41,13.14,7.36,8.72,LOW
AuScSi,Au1Sc1Si1.T0003.CAB,,79,,,17.50,,7,196.97,,,,36.52,16.87,6,3.50,1,11,8.50,11,2.54,1.63,0.54,135,135,50,1.16,1.30,1.27,6.07,0.36,20.22,3.18,0.77,2.05,54.93,7.60,14.40,LOW
AuScSn,Au1Sc1Sn1.T0003.CAB,,79,,,35.50,,29,196.97,,,,81.83,73.75,6,4.50,1,11,8.50,11,2.54,1.66,0.60,135,152.50,15,1.16,1.25,1.17,6.33,0.13,18.57,2.88,0.65,8.54,30.49,7.22,11.05,LOW
AuSiY,Au1Si1Y1.T0003.CAB,,79,,,26.50,,25,196.97,,,,58.50,60.82,6,4,2,11,8.50,11,2.54,1.56,0.68,135,145,70,1.16,1.30,1.28,6.34,0.23,18.30,2.48,0.47,8.67,9.24,4.65,5.24,LOW
AuSnY,Au1Sn1Y1.T0003.CAB,,79,,,44.50,,11,196.97,,,,103.81,29.80,6,5,0,11,8.50,11,2.54,1.59,0.74,135,162.50,35,1.16,1.25,1.18,6.55,0.03,17.01,2.65,0.47,5.51,10.74,5.87,5.53,LOW
AuTiTl,Au1Ti1Tl1.T0003.CAB,,79,,,51.50,,59,196.97,,,,126.12,156.52,6,5,2,11,8.50,9,2.54,1.58,0.08,135,165,50,1.16,1.18,0.77,6.26,0.31,19.40,2.27,0.49,10.27,14.48,5.43,NA,LOW
AuTlZr,Au1Tl1Zr1.T0003.CAB,,79,,,60.50,,41,196.97,,,,147.80,113.16,6,5.50,1,11,8.50,9,2.54,1.48,0.29,135,172.50,35,1.16,1.16,0.80,6.39,0.34,18.36,2.50,0.63,7.17,23.64,4.29,9.99,LOW
BAgHf,Ag1B1Hf1.T0003.ABC,,5,,,59.50,,25,10.81,,,,143.18,70.62,2,5.50,1,13,7.50,7,2.04,1.61,0.63,85,157.50,5,2,0.98,0.41,5.61,0.17,24.17,3.39,1.09,1.21,99.33,7.52,16.39,LOW
BAgTi,Ag1B1Ti1.T0003.ABC,,5,,,34.50,,25,10.81,,,,77.87,60.00,2,4.50,1,13,7.50,7,2.04,1.74,0.39,85,150,20,2,0.98,0.39,5.41,0.16,26.14,4.33,1.14,4.09,643.43,8.60,46.94,LOW
BAgZr,Ag1B1Zr1.T0003.ABC,,5,,,43.50,,7,10.81,,,,99.55,16.64,2,5,0,13,7.50,7,2.04,1.63,0.60,85,157.50,5,2,0.97,0.42,5.67,0.25,23.37,4.01,1.14,1.75,44.38,8.25,15.59,LOW
BAlCa,Al1B1Ca1.T0003.ABC,,5,,,16.50,,7,10.81,,,,33.53,13.10,2,3.50,1,13,7.50,11,2.04,1.30,0.61,85,152.50,55,2,1.13,1.06,5.82,0.33,20.63,5.99,1.98,4.15,40.79,5.75,17.32,LOW
BAuTi,Au1B1Ti1.T0003.ABC,,5,,,50.50,,57,10.81,,,,122.42,149.10,2,5,2,13,7.50,7,2.04,2.04,1,85,137.50,5,2,0.97,0.37,5.43,0.02,26.46,3.69,1.12,1.35,5059.98,10.09,51.47,LOW
BBeSc,B1Be1Sc1.T0003.CAB,,5,,,12.50,,17,10.81,,,,26.98,35.94,2,3,2,13,2.50,1,2.04,1.47,0.21,85,132.50,55,2,1.08,0.83,5.23,0.44,24.47,6.26,1.52,1.53,112.52,5.65,42.17,LOW
BCaGa,B1Ca1Ga1.T0003.CAB,,5,,,25.50,,11,10.81,,,,54.90,29.64,2,4,0,13,7.50,11,2.04,1.41,0.81,85,155,50,2,1.14,1.08,5.76,0.42,21.76,4.72,1.48,2.89,55.97,6.40,9.35,LOW
BCaIn,B1Ca1In1.T0003.CAB,,5,,,34.50,,29,10.81,,,,77.45,74.74,2,4.50,1,13,7.50,11,2.04,1.39,0.78,85,167.50,25,2,1.10,1,6.02,0.26,19.59,4.13,0.97,2.42,1427.74,6.72,57.02,LOW
BCdSc,B1Cd1Sc1.T0003.CAB,,5,,,34.50,,27,10.81,,,,78.68,67.46,2,4.50,1,13,7.50,9,2.04,1.52,0.33,85,157.50,5,2,1.01,0.69,5.71,0.31,22.54,4.33,1.02,4.67,178.64,6.41,63.32,LOW
BCdY,B1Cd1Y1.T0003.CAB,,5,,,43.50,,9,10.81,,,,100.66,23.51,2,5,0,13,7.50,9,2.04,1.46,0.47,85,167.50,25,2,1.01,0.70,5.99,0.44,20.19,3.86,1.00,1.95,31.80,6.41,20.17,LOW
BCrCu,B1Cr1Cu1.T0003.CAB,,5,,,26.50,,5,10.81,,,,57.77,11.55,2,4,0,13,8.50,5,2.04,1.78,0.24,85,137.50,5,2,1.04,0.31,4.91,0.19,33.60,4.67,2.47,2.83,218.46,7.42,38.57,LOW
BCuTi,B1Cu1Ti1.T0003.CAB,,5,,,25.50,,7,10.81,,,,55.71,15.68,2,4,0,13,7.50,7,2.04,1.72,0.36,85,137.50,5,2,0.99,0.41,5.13,0.18,29.01,4.89,1.69,2.84,200.24,7.64,23.62,LOW
BCuZr,B1Cu1Zr1.T0003.CAB,,5,,,34.50,,11,10.81,,,,77.39,27.68,2,4.50,1,13,7.50,7,2.04,1.61,0.57,85,145,20,2,0.98,0.44,5.43,0.26,25.67,4.23,1.36,0.92,49.31,8.40,9.92,LOW
BGeLi,B1Ge1Li1.T0003.CAB,,5,,,17.50,,29,10.81,,,,39.79,65.70,2,3,2,13,7.50,13,2.04,1.50,1.03,85,135,20,2,1.18,1.45,5.06,0.45,27.49,5.57,1.20,4.66,213.71,5.35,53.13,LOW
BHgSc,B1Hg1Sc1.T0003.CAB,,5,,,50.50,,59,10.81,,,,122.77,155.63,2,5,2,13,7.50,9,2.04,1.68,0.64,85,155,10,2,0.99,0.65,5.72,0.26,22.76,3.52,0.78,2.85,478.57,10.13,134.35,LOW
BHgY,B1Hg1Y1.T0003.CAB,,5,,,59.50,,41,10.81,,,,144.75,111.68,2,5.50,1,13,7.50,9,2.04,1.61,0.78,85,165,30,2,0.99,0.66,6.00,0.36,20.34,3.25,0.75,3.08,55.02,7.88,16.64,LOW
BLiRu,B1Li1Ru1.T0003.CAB,,5,,,23.50,,41,10.81,,,,54.01,94.13,2,3.50,3,13,4.50,7,2.04,1.59,1.22,85,137.50,15,2,0.72,0.55,4.91,0.81,28.63,4.34,2.35,1.32,102.48,5.82,40.47,LOW
BLiSi,B1Li1Si1.T0003.CAB,,5,,,8.50,,11,10.81,,,,17.51,21.14,2,2.50,1,13,7.50,13,2.04,1.44,0.92,85,127.50,35,2,1.20,1.49,4.93,0.22,26.55,8.15,2.33,1.40,128.91,5.24,62.12,LOW
BLiSn,B1Li1Sn1.T0003.CAB,,5,,,26.50,,47,10.81,,,,62.83,111.77,2,3.50,3,13,7.50,13,2.04,1.47,0.98,85,145,0,2,1.15,1.39,5.47,0.11,23.67,4.31,0.90,3.82,27.45,6.28,37.42,LOW
BMgSc,B1Mg1Sc1.T0003.CAB,,5,,,16.50,,9,10.81,,,,34.63,20.65,2,3.50,1,13,2.50,1,2.04,1.33,0.05,85,155,10,2,0.97,0.61,5.70,0.05,21.80,5.92,1.83,3.23,55.78,5.30,43.43,LOW
BScZn,B1Sc1Zn1.T0003.CAB,,5,,,25.50,,9,10.81,,,,55.18,20.45,2,4,0,13,7.50,9,2.04,1.50,0.29,85,147.50,25,2,1.05,0.77,5.44,0.38,25.05,4.96,1.41,3.16,70.34,6.19,24.79,LOW
BYZn,B1Y1Zn1.T0003.CAB,,5,,,34.50,,9,10.81,,,,77.16,23.50,2,4.50,1,13,7.50,9,2.04,1.44,0.43,85,157.50,45,2,1.05,0.78,5.76,0.36,22.14,4.21,1.38,1.28,26.38,6.53,8.99,LOW
BaAuCl,Au1Ba1Cl1.T0003.ABC,,56,,,48,,62,137.33,,,,116.21,161.51,6,4.50,3,2,14,6,0.89,2.85,0.62,215,117.50,35,0.50,1.93,1.54,7.27,2.97,12.72,1.48,0.32,14.18,0.18,21.80,0.62,HIGH
BaBrCl,Ba1Br1Cl1.T0003.CAB,,56,,,26,,18,137.33,,,,57.68,44.45,6,3.50,1,2,17,0,0.89,3.06,0.20,215,107.50,15,0.50,2.67,0.06,7.32,4.94,12.36,2.03,0.40,6.58,0.48,14.56,2.79,HIGH
BeAsLi,As1Be1Li1.T0003.ABC,,4,,,18,,30,9.01,,,,40.93,67.98,2,3,2,2,8,14,1.57,1.58,1.20,105,130,30,1.50,1.30,1.71,5.33,1.73,25.42,4.52,2.06,4.30,24.04,6.29,19.54,LOW
